name,LCD,PLD,density g/cm3,VSA_m2/cm3,GSA_m^2/g,Vp_cm3/g,void_fraction,u(mol/s),time(s),K,P_ads,P_desor,CH4,CO2,H_m,D_m,CH4_MTC,CO2_MTC,Purity,Recovery
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,278,1,0.2,0.5,0.5,0.05,0.01,0.01,0.005,0.72355163,0.92238
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,278,1,0.2,0.5,0.5,0.05,0.01,0.01,0.01,0.549477221,0.98932
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,278,1,0.2,0.5,0.5,0.05,0.01,0.01,0.02,0.543137977,0.98856
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,278,1,0.2,0.5,0.5,0.15,0.01,0.01,0.005,0.253203422,0.994145
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,278,1,0.2,0.5,0.5,0.15,0.01,0.01,0.01,0.250681458,0.987245
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,278,1,0.2,0.5,0.5,0.15,0.01,0.01,0.02,0.250590421,0.98414
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,278,1,0.2,0.5,0.5,0.3,0.01,0.01,0.005,0.134273783,0.99515
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,278,1,0.2,0.5,0.5,0.3,0.01,0.01,0.01,0.13293631,0.98463
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,278,1,0.2,0.5,0.5,0.3,0.01,0.01,0.02,0.130584445,0.97875
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,278,1,0.2,0.7,0.3,0.05,0.01,0.01,0.005,0.415525644,0.984016667
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,278,1,0.2,0.7,0.3,0.05,0.01,0.01,0.01,0.405515497,0.988883333
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,278,1,0.2,0.7,0.3,0.05,0.01,0.01,0.02,0.401143299,0.989321667
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,278,1,0.2,0.7,0.3,0.15,0.01,0.01,0.005,0.166881909,0.992841667
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,278,1,0.2,0.7,0.3,0.15,0.01,0.01,0.01,0.165259058,0.987825
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,278,1,0.2,0.7,0.3,0.15,0.01,0.01,0.02,0.164993821,0.985758333
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,278,1,0.2,0.7,0.3,0.3,0.01,0.01,0.005,0.08555288,0.993208333
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,278,1,0.2,0.7,0.3,0.3,0.01,0.01,0.01,0.084861017,0.985258333
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,278,1,0.2,0.7,0.3,0.3,0.01,0.01,0.02,0.084672997,0.981208333
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,278,1,0.2,0.85,0.15,0.05,0.01,0.01,0.005,0.246254417,0.979741667
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,278,1,0.2,0.85,0.15,0.05,0.01,0.01,0.01,0.243446366,0.988615
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,278,1,0.2,0.85,0.15,0.05,0.01,0.01,0.02,0.242488732,0.989403333
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,278,1,0.2,0.85,0.15,0.15,0.01,0.01,0.005,0.089759518,0.992216667
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,278,1,0.2,0.85,0.15,0.15,0.01,0.01,0.01,0.08908444,0.988216667
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,278,1,0.2,0.85,0.15,0.15,0.01,0.01,0.02,0.088969133,0.986645
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,278,1,0.2,0.85,0.15,0.3,0.01,0.01,0.005,0.045069956,0.99265
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,278,1,0.2,0.85,0.15,0.3,0.01,0.01,0.01,0.044435529,0.9857
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,278,1,0.2,0.85,0.15,0.3,0.01,0.01,0.02,0.044320924,0.982483333
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,298,1,0.2,0.5,0.5,0.05,0.01,0.01,0.005,0.723585653,0.92255
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,298,1,0.2,0.5,0.5,0.05,0.01,0.01,0.01,0.704428624,0.97911
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,298,1,0.2,0.5,0.5,0.05,0.01,0.01,0.02,0.692520523,0.98617
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,298,1,0.2,0.5,0.5,0.15,0.01,0.01,0.005,0.389623119,0.99778
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,298,1,0.2,0.5,0.5,0.15,0.01,0.01,0.01,0.3799694,0.989655
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,298,1,0.2,0.5,0.5,0.15,0.01,0.01,0.02,0.377857991,0.986625
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,298,1,0.2,0.5,0.5,0.3,0.01,0.01,0.005,0.22049646,0.99999
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,298,1,0.2,0.5,0.5,0.3,0.01,0.01,0.01,0.217310747,0.990485
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,298,1,0.2,0.5,0.5,0.3,0.01,0.01,0.02,0.216434548,0.98488
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,298,1,0.2,0.7,0.3,0.05,0.01,0.01,0.005,0.546442639,0.894558333
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,298,1,0.2,0.7,0.3,0.05,0.01,0.01,0.01,0.540781672,0.9719825
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,298,1,0.2,0.7,0.3,0.05,0.01,0.01,0.02,0.53477949,0.985376667
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,298,1,0.2,0.7,0.3,0.15,0.01,0.01,0.005,0.266729854,0.996691667
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,298,1,0.2,0.7,0.3,0.15,0.01,0.01,0.01,0.261208217,0.9893
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,298,1,0.2,0.7,0.3,0.15,0.01,0.01,0.02,0.259910146,0.987816667
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,298,1,0.2,0.7,0.3,0.3,0.01,0.01,0.005,0.144137893,0.99999
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,298,1,0.2,0.7,0.3,0.3,0.01,0.01,0.01,0.142117868,0.990033333
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,298,1,0.2,0.7,0.3,0.3,0.01,0.01,0.02,0.141412994,0.985741667
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,298,1,0.2,0.85,0.15,0.05,0.01,0.01,0.005,0.325293812,0.876538333
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,298,1,0.2,0.85,0.15,0.05,0.01,0.01,0.01,0.340241691,0.965205
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,298,1,0.2,0.85,0.15,0.05,0.01,0.01,0.02,0.341343291,0.984166667
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,298,1,0.2,0.85,0.15,0.15,0.01,0.01,0.005,0.148062632,0.992883333
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,298,1,0.2,0.85,0.15,0.15,0.01,0.01,0.01,0.14613811,0.989153333
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,298,1,0.2,0.85,0.15,0.15,0.01,0.01,0.02,0.145501254,0.987681667
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,298,1,0.2,0.85,0.15,0.3,0.01,0.01,0.005,0.076709863,0.997233333
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,298,1,0.2,0.85,0.15,0.3,0.01,0.01,0.01,0.075934603,0.9896
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,298,1,0.2,0.85,0.15,0.3,0.01,0.01,0.02,0.075654425,0.98625
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,288,1,0.2,0.5,0.5,0.05,0.01,0.01,0.005,0.654720785,0.97429
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,288,1,0.2,0.5,0.5,0.05,0.01,0.01,0.01,0.630080782,0.986675
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,288,1,0.2,0.5,0.5,0.05,0.01,0.01,0.02,0.620540143,0.988235
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,288,1,0.2,0.5,0.5,0.15,0.01,0.01,0.005,0.317545595,0.99652
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,288,1,0.2,0.5,0.5,0.15,0.01,0.01,0.01,0.312117893,0.98888
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,288,1,0.2,0.5,0.5,0.15,0.01,0.01,0.02,0.311507162,0.985875
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,288,1,0.2,0.5,0.5,0.3,0.01,0.01,0.005,0.17353922,0.9991
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,288,1,0.2,0.5,0.5,0.3,0.01,0.01,0.01,0.171526512,0.98825
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,288,1,0.2,0.5,0.5,0.3,0.01,0.01,0.02,0.171139993,0.98259
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,288,1,0.2,0.7,0.3,0.05,0.01,0.01,0.005,0.483664113,0.959158333
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,288,1,0.2,0.7,0.3,0.05,0.01,0.01,0.01,0.475005326,0.984816667
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,288,1,0.2,0.7,0.3,0.05,0.01,0.01,0.02,0.469618387,0.98847
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,288,1,0.2,0.7,0.3,0.15,0.01,0.01,0.005,0.212908324,0.994608333
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,288,1,0.2,0.7,0.3,0.15,0.01,0.01,0.01,0.210036086,0.988991667
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,288,1,0.2,0.7,0.3,0.15,0.01,0.01,0.02,0.209570423,0.986966667
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,288,1,0.2,0.7,0.3,0.3,0.01,0.01,0.005,0.111954236,0.997608333
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,288,1,0.2,0.7,0.3,0.3,0.01,0.01,0.01,0.110736328,0.988175
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,288,1,0.2,0.7,0.3,0.3,0.01,0.01,0.02,0.110425375,0.984083333
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,288,1,0.2,0.85,0.15,0.05,0.01,0.01,0.005,0.29113111,0.947268333
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,288,1,0.2,0.85,0.15,0.05,0.01,0.01,0.01,0.292788015,0.983181667
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,288,1,0.2,0.85,0.15,0.05,0.01,0.01,0.02,0.29353012,0.988336667
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,288,1,0.2,0.85,0.15,0.15,0.01,0.01,0.005,0.11668611,0.993566667
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,288,1,0.2,0.85,0.15,0.15,0.01,0.01,0.01,0.11548228,0.98915
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,288,1,0.2,0.85,0.15,0.15,0.01,0.01,0.02,0.11523797,0.987575
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,288,1,0.2,0.85,0.15,0.3,0.01,0.01,0.005,0.059022956,0.99525
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,288,1,0.2,0.85,0.15,0.3,0.01,0.01,0.01,0.058559782,0.98825
Cu-BTC,6.24099,1.09012,0.879,0,0,0.23991,0.39891,2.00E-05,200,288,1,0.2,0.85,0.15,0.3,0.01,0.01,0.02,0.058379335,0.984933333
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.5,0.5,0.2,0.01,0.01,0.005,0.130136446,0.98905
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.5,0.5,0.2,0.01,0.01,0.01,0.127848374,0.981095
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.5,0.5,0.2,0.01,0.01,0.02,0.123429174,0.97611
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.5,0.5,0.25,0.01,0.01,0.005,0.102060525,0.98815
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.5,0.5,0.25,0.01,0.01,0.01,0.102044646,0.97895
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.5,0.5,0.25,0.01,0.01,0.02,0.100098201,0.97345
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.5,0.5,0.3,0.01,0.01,0.005,0.082744656,0.98685
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.5,0.5,0.3,0.01,0.01,0.01,0.080890106,0.976145
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.5,0.5,0.3,0.01,0.01,0.02,0.081182987,0.970405
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.7,0.3,0.2,0.01,0.01,0.005,0.081389076,0.988216667
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.7,0.3,0.2,0.01,0.01,0.01,0.07939927,0.982341667
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.7,0.3,0.2,0.01,0.01,0.02,0.079353033,0.97935
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.7,0.3,0.25,0.01,0.01,0.005,0.063079471,0.987083333
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.7,0.3,0.25,0.01,0.01,0.01,0.064456387,0.980591667
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.7,0.3,0.25,0.01,0.01,0.02,0.041729444,0.839504083
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.7,0.3,0.3,0.01,0.01,0.005,0.053315845,0.9864
